system_id,lane,family,dimension,condition_exponent,epsilon,decimal_digits,delta_normalized_difference,U_response_normalized_difference,maximum_normalized_difference
G2H_SADDLE_POINT_LIKE_D08_C14_E7eM9,DECIMAL_SOURCE,SADDLE_POINT_LIKE,8,14,7e-9,160,2.216806398120567843623888507863536719847323427882298540352332885513255843520160591966684966737548746623707566213991709404003623900626837174191857023946679310408E-153,9.153369046869956183428979187754877085796962237263299496234557400157907554379552760851458835177130435966315249066152011816935102541986676874025423887501681482999E-161,2.216806398120567843623888507863536719847323427882298540352332885513255843520160591966684966737548746623707566213991709404003623900626837174191857023946679310408E-153
G2H_SADDLE_POINT_LIKE_D08_C14_E7eM9,BINARY64_OPERAND,SADDLE_POINT_LIKE,8,14,7e-9,160,2.034102041645079389523055051740277849470054669138154272534630325443016437411388621237448909718383728381545080460071259061824884786108728896449852709002674232167E-153,2.393783380388530460516939480111428218989882320918583374933785822104031808952348453323535166712886681788729298662479670830056710291512517726183079449973002988782E-161,2.034102041645079389523055051740277849470054669138154272534630325443016437411388621237448909718383728381545080460071259061824884786108728896449852709002674232167E-153
G2H_SADDLE_POINT_LIKE_D16_C00_E7eM17,DECIMAL_SOURCE,SADDLE_POINT_LIKE,16,0,7e-17,160,9.232919243334425684149321322179697144320407948383704642663892468529234936555256356232683878870450773991009234398150710036661723957538264585775299660686828917203E-144,3.923145050653458904245534277331523476337867608827946376098753484782024797887319788008428343866048242091015103477264583994897174759965753869911427041159492530334E-152,9.232919243334425684149321322179697144320407948383704642663892468529234936555256356232683878870450773991009234398150710036661723957538264585775299660686828917203E-144
G2H_SADDLE_POINT_LIKE_D16_C00_E7eM17,BINARY64_OPERAND,SADDLE_POINT_LIKE,16,0,7e-17,160,1.139927772260023707719553335619268791271548758017829013330576330269040452434217885320760688610687839363284921324460012849167611900777692678946744122022692480027E-143,3.159612556993868804166596556897731755729312111061271630653072369060638731481126031163874335631984284227442005494331251410348497660733591219288868875462952882024E-160,1.139927772260023707719553335619268791271548758017829013330576330269040452434217885320760688610687839363284921324460012849167611900777692678946744122022692480027E-143
G2H_SADDLE_POINT_LIKE_D16_C12_E7eM15,DECIMAL_SOURCE,SADDLE_POINT_LIKE,16,12,7e-15,160,1.889913420452952100863484282766624816811442540842415793933751043632875049261701744161198364440041480702534238929979263687790084279711153128421832105156248262501E-152,2.174333389501173393483496557765788614143777446232408093081448391316099410150480442244034293834271020614714883316523740338935472001289593252345352614542940507040E-159,1.889913420452952100863484282766624816811442540842415793933751043632875049261701744161198364440041480702534238929979263687790084279711153128421832105156248262501E-152
G2H_SADDLE_POINT_LIKE_D16_C12_E7eM15,BINARY64_OPERAND,SADDLE_POINT_LIKE,16,12,7e-15,160,4.637994097171712826735118905910117579673695931272111487275734856147960948961509243105802010804966739111862000926229946299892973899148829788568179687250030047342E-152,5.575132633950071274998696702267745027684178868225686907820217771436401010717879431485820470094383018556555625230901361049542149264154410299462786658622595856248E-160,4.637994097171712826735118905910117579673695931272111487275734856147960948961509243105802010804966739111862000926229946299892973899148829788568179687250030047342E-152
G2H_SADDLE_POINT_LIKE_D16_C14_E7eM9,DECIMAL_SOURCE,SADDLE_POINT_LIKE,16,14,7e-9,160,5.488848307624690667300822421723392468584200434106377181652867709074696846851492340975449759961650673195416364140979816851447544812680851338614091410894683642481E-153,2.124006323208970555027619621154425264270390366902196366769096022808176566721955766923695276953850570375571072085836843715237002761686175182518409819739704415134E-159,5.488848307624690667300822421723392468584200434106377181652867709074696846851492340975449759961650673195416364140979816851447544812680851338614091410894683642481E-153
G2H_SADDLE_POINT_LIKE_D16_C14_E7eM9,BINARY64_OPERAND,SADDLE_POINT_LIKE,16,14,7e-9,160,2.789181537181732685347216353548314142247659755755577564248606302337498270355441031390148395134027686692483130104056612882910727146226955231711414163062682080742E-153,4.326790419483513924422807501745249176125171917349761612512304728319979697240985616895740016095472245797887471020717287803671350753136543158696367244816118957577E-159,2.789181537181732685347216353548314142247659755755577564248606302337498270355441031390148395134027686692483130104056612882910727146226955231711414163062682080742E-153
G2H_SPD_D02_C00_E7eM17,DECIMAL_SOURCE,SPD,2,0,7e-17,160,7.583632198446954154733644661732047099902172565741902082983917950967943444443045915705928682987210150078892647868942604027849667824541797719056520241895206726436E-145,2.454300758298339982476283302081327373900249676533055614397463741284074209714961609803491317050963775838444549973230057072074062170741205814736722299904250891403E-150,7.583632198446954154733644661732047099902172565741902082983917950967943444443045915705928682987210150078892647868942604027849667824541797719056520241895206726436E-145
G2H_SPD_D02_C00_E7eM17,BINARY64_OPERAND,SPD,2,0,7e-17,160,1.169755441371939479945253472097580339670520119821974932687665453748234874813153405906176049273027514476140676207088459048740423168349220894000230123168240967345E-42,4.342285091442523333768799410045622374433718796629889445243114105101995649934478799369096747021226018548656618190162196517663563975477097788899848255803033155912E-160,1.169755441371939479945253472097580339670520119821974932687665453748234874813153405906176049273027514476140676207088459048740423168349220894000230123168240967345E-42
G2H_SPD_D02_C12_E7eM15,DECIMAL_SOURCE,SPD,2,12,7e-15,160,5.814621971423017704986295672054706793195480029048094494001076280080595001065086193011677919800348134942761798811893460725978940412097820765080317147403421182597E-155,5.975483950402338571349985249965861872325817286848399066943447146690593187757826402720121329347552205373118284753974738918214152345033675509159650116926140062637E-161,5.814621971423017704986295672054706793195480029048094494001076280080595001065086193011677919800348134942761798811893460725978940412097820765080317147403421182597E-155
